Code,Code Type,Description,Number of Patients
ICD-9-D-3538,ICD-9-D,Other nerve root and plexus disorders,397
ICD-9-D-25000,ICD-9-D,Diabetes mellitus without mention of complication  type II or unspecified type  not stated as uncontrolled,406
ICD-9-D-V5869,ICD-9-D,Long-term (current) use of other medications,423
ICD-9-D-7232,ICD-9-D,Cervicocranial syndrome,426
ICD-9-D-53081,ICD-9-D,Esophageal reflux,428
ICD-10-D-M542,ICD-10-D,Cervicalgia,429
ICD-10-D-M5412,ICD-10-D,Radiculopathy  cervical region,459
ICD-10-D-K219,ICD-10-D,Gastro-esophageal reflux disease without esophagitis,462
ICD-10-D-M25512,ICD-10-D,Pain in left shoulder,475
ICD-9-D-72281,ICD-9-D,Postlaminectomy syndrome  cervical region,480
ICD-9-D-7245,ICD-9-D,Backache  unspecified,487
ICD-10-D-Z79899,ICD-10-D,Other long term (current) drug therapy,489
ICD-10-D-M25511,ICD-10-D,Pain in right shoulder,491
ICD-9-D-7243,ICD-9-D,Sciatica,557
ICD-9-D-59651,ICD-9-D,Hypertonicity of bladder,583
ICD-10-D-M5416,ICD-10-D,Radiculopathy  lumbar region,655
ICD-9-D-3569,ICD-9-D,Unspecified hereditary and idiopathic peripheral neuropathy,657
ICD-10-D-M792,ICD-10-D,Neuralgia and neuritis  unspecified,668
ICD-9-D-7292,ICD-9-D,Neuralgia  neuritis  and radiculitis  unspecified,699
ICD-10-D-G589,ICD-10-D,Mononeuropathy  unspecified,708
ICD-9-D-7295,ICD-9-D,Pain in limb,787
ICD-9-D-78841,ICD-9-D,Urinary frequency,817
ICD-9-D-7224,ICD-9-D,Degeneration of cervical intervertebral disc,858
ICD-10-D-M5481,ICD-10-D,Occipital neuralgia,923
ICD-9-D-7220,ICD-9-D,Displacement of cervical intervertebral disc without myelopathy,924
ICD-10-D-I10,ICD-10-D,Essential (primary) hypertension,945
ICD-9-D-7230,ICD-9-D,Spinal stenosis in cervical region,988
ICD-9-D-7210,ICD-9-D,Cervical spondylosis without myelopathy,996
ICD-9-D-7291,ICD-9-D,Myalgia and myositis  unspecified,1037
ICD-9-D-4019,ICD-9-D,Unspecified essential hypertension,1059
ICD-9-D-7840,ICD-9-D,Headache,1099
ICD-10-D-M961,ICD-10-D,Postlaminectomy syndrome  not elsewhere classified,1116
ICD-9-D-78831,ICD-9-D,Urge incontinence,1166
ICD-10-D-M545,ICD-10-D,Low back pain,1364
ICD-9-D-7384,ICD-9-D,Acquired spondylolisthesis,1416
ICD-9-D-72403,ICD-9-D,Spinal stenosis  lumbar region  with neurogenic claudication,1445
ICD-9-D-7234,ICD-9-D,Brachial neuritis or radiculitis NOS,1486
ICD-9-D-33829,ICD-9-D,Other chronic pain,1765
ICD-9-D-7238,ICD-9-D,Other syndromes affecting cervical region,1777
ICD-10-D-G8929,ICD-10-D,Other chronic pain,1785
ICD-9-D-7218,ICD-9-D,Other allied disorders of spine,1811
ICD-9-D-7231,ICD-9-D,Cervicalgia,1970
ICD-9-D-33818,ICD-9-D,Other acute postoperative pain,2253
ICD-9-D-72283,ICD-9-D,Postlaminectomy syndrome  lumbar region,3081
ICD-10-D-G894,ICD-10-D,Chronic pain syndrome,3099
ICD-9-D-72402,ICD-9-D,Spinal stenosis  lumbar region  without neurogenic claudication,4182
ICD-9-D-3384,ICD-9-D,Chronic pain syndrome,4198
ICD-9-D-72252,ICD-9-D,Degeneration of lumbar or lumbosacral intervertebral disc,5091
ICD-9-D-7213,ICD-9-D,Lumbosacral spondylosis without myelopathy,5163
ICD-9-D-7244,ICD-9-D,Thoracic or lumbosacral neuritis or radiculitis  unspecified,5346
ICD-9-D-72210,ICD-9-D,Displacement of lumbar intervertebral disc without myelopathy,5437
ICD-9-D-7242,ICD-9-D,Lumbago,6969
